county,cost,total,t/c,name
Bomet,60000,800000,13.33333333,mango
Kirinyaga,60000,464000,7.733333333,mango
Kwale,60000,720000,12,mango
Baringo,60000,192000,3.2,mango
Kiambu,60000,1200000,20,mango
Kisii,60000,800000,13.33333333,mango
Kakamega,60000,800000,13.33333333,mango
Bomet,150000,939600,6.264,oranges
Kirinyaga,150000,648000,4.32,oranges
Kwale,150000,518400,3.456,oranges
Baringo,150000,1620000,10.8,oranges
Kiambu,150000,1782000,11.88,oranges
Kisii,150000,631800,4.212,oranges
Kakamega,150000,2430000,16.2,oranges
Bomet,7000,52200,7.457142857,beans
Kirinyaga,7000,70200,10.02857143,beans
Kwale,7000,90000,12.85714286,beans
Baringo,7000,64800,9.257142857,beans
Kiambu,7000,81000,11.57142857,beans
Kisii,7000,81000,11.57142857,beans
Kakamega,7000,99000,14.14285714,beans
Bomet,30200,638400,21.13907285,pegionpeas
Kirinyaga,30200,532800,17.64238411,pegionpeas
Kwale,80200,480000,5.985037406,pegionpeas
Baringo,30200,672000,22.25165563,pegionpeas
Kiambu,30200,624000,20.66225166,pegionpeas
Kisii,30200,508800,16.84768212,pegionpeas
Kakamega,30200,648000,21.45695364,pegionpeas
Bomet,26000,164700,6.334615385,maize
Kirinyaga,26000,243000,9.346153846,maize
Kwale,26000,162000,6.230769231,maize
Baringo,26000,172800,6.646153846,maize
Kiambu,26000,216000,8.307692308,maize
Kisii,26000,191700,7.373076923,maize
Kakamega,26000,172800,6.646153846,maize
Bomet,100000,1600000,16,banana
Kirinyaga,100000,1280000,12.8,banana
Kwale,150000,3200000,21.33333333,banana
Baringo,100000,384000,3.84,banana
Kiambu,100000,5120000,51.2,banana
Kisii,100000,432000,4.32,banana
Kakamega,100000,6400000,64,banana
Bomet,60394,229500,3.800046362,rice
Kirinyaga,60394,292500,4.843196344,rice
Kwale,60394,292500,4.843196344,rice
Baringo,60394,225000,3.725535649,rice
Kiambu,60394,270000,4.470642779,rice
Kisii,60394,299250,4.954962413,rice
Kakamega,60394,270000,4.470642779,rice
