county,cost,total,t/c,name
Bomet,60000,800000,13.33333333,mango
Kirinyaga,60000,464000,7.733333333,mango
Kwale,60000,720000,12,mango
Baringo,60000,192000,3.2,mango
Kiambu,60000,1200000,20,mango
Kisii,60000,800000,13.33333333,mango
bungoma,60000,625000,10.41666667,mango
busia ,60000,60000,1,mango
elgeyo marakwet ,60000,62400,1.04,mango
embu ,60000,125000,2.083333333,mango
homabay,60000,33300,0.555,mango
isiolo,60000,150000,2.5,mango
kajiado,60000,160000,2.666666667,mango
kericho,60000,150000,2.5,mango
kilifi,60000,13000,0.216666667,mango
kisumu,60000,250000,4.166666667,mango
kitui,60000,90000,1.5,mango
Kakamega,60000,800000,13.33333333,mango
Bomet,150000,939600,6.264,oranges
Kirinyaga,150000,648000,4.32,oranges
Kwale,150000,518400,3.456,oranges
Baringo,150000,1620000,10.8,oranges
Kiambu,150000,1782000,11.88,oranges
Kisii,150000,631800,4.212,oranges
bungoma,150000,250000,1.666666667,oranges
busia ,150000,32000,0.213333333,oranges
elgeyo marakwet ,150000,60750,0.405,oranges
embu ,150000,100000,0.666666667,oranges
homabay,150000,27000,0.18,oranges
isiolo,150000,58000,0.386666667,oranges
kajiado,150000,320000,2.133333333,oranges
kericho,150000,80000,0.533333333,oranges
kilifi,150000,31680,0.2112,oranges
kisumu,150000,375000,2.5,oranges
kitui,150000,67200,0.448,oranges
Kakamega,150000,2430000,16.2,oranges
Bomet,7000,52200,7.457142857,beans
Kirinyaga,7000,70200,10.02857143,beans
Kwale,7000,90000,12.85714286,beans
Baringo,7000,64800,9.257142857,beans
Kiambu,7000,81000,11.57142857,beans
Kisii,7000,81000,11.57142857,beans
bungoma,7000,55350,7.907142857,beans
busia ,7000,55350,7.907142857,beans
elgeyo marakwet ,7000,67500,9.642857143,beans
embu ,7000,168000,24,beans
homabay ,7000,230000,32.85714286,beans
isiolo,7000,17280000,2468.571429,beans
kajiado,7000,40800,5.828571429,beans
kericho,7000,2380000,340,beans
kilifi,7000,90000,12.85714286,beans
kisumu,7000,525000,75,beans
kitui,7000,1476000,210.8571429,beans
Kakamega,7000,99000,14.14285714,beans
Bomet,30200,638400,21.13907285,peas
Kirinyaga,30200,532800,17.64238411,peas
Kwale,80200,480000,5.985037406,peas
Baringo,30200,672000,22.25165563,peas
Kiambu,30200,624000,20.66225166,peas
Kisii,30200,508800,16.84768212,peas
bungoma,30200,140400,4.649006623,peas
busia ,30200,140400,4.649006623,peas
elgeyo marakwet ,30200,140400,4.649006623,peas
embu ,30200,418000,13.8410596,peas
homabay,30200,3900,0.129139073,peas
isiolo,30200,847500,28.06291391,peas
kajiado,30200,315000,10.43046358,peas
kericho,30200,315000,10.43046358,peas
kilifi,30200,315000,10.43046358,peas
kisumu,30200,315000,10.43046358,peas
kitui,30200,174960,5.793377483,peas
Kakamega,30200,648000,21.45695364,peas
Bomet,26000,164700,6.334615385,maize
Kirinyaga,26000,243000,9.346153846,maize
Kwale,26000,162000,6.230769231,maize
Baringo,26000,172800,6.646153846,maize
Kiambu,26000,216000,8.307692308,maize
Kisii,26000,191700,7.373076923,maize
bungoma,26000,2890000,111.1538462,maize
busia ,26000,28350,1.090384615,maize
elgeyo marakwet ,26000,90000,3.461538462,maize
embu ,26000,434000,16.69230769,maize
homabay,26000,250000,9.615384615,maize
isiolo,26000,40000,1.538461538,maize
kajiado,26000,201000,7.730769231,maize
kericho,26000,522000,20.07692308,maize
kilifi,26000,10000,0.384615385,maize
kisumu,26000,252000,9.692307692,maize
kitui,26000,2480000,95.38461538,maize
Kakamega,26000,172800,6.646153846,maize
Bomet,100000,1600000,16,banana
Kirinyaga,100000,1280000,12.8,banana
Kwale,150000,3200000,21.33333333,banana
Baringo,100000,384000,3.84,banana
Kiambu,100000,5120000,51.2,banana
Kisii,100000,432000,4.32,banana
bungoma,100000,57000,0.57,banana
busia ,100000,23000,0.23,banana
elgeyo marakwet ,100000,3150,0.0315,banana
embu ,100000,62100,0.621,banana
homabay,100000,9200,0.092,banana
isiolo,100000,480000,4.8,banana
kajiado,100000,288000,2.88,banana
kericho,100000,240000,2.4,banana
kilifi,100000,4800,0.048,banana
kisumu,100000,150000,1.5,banana
kitui,100000,212800,2.128,banana
Kakamega,100000,6400000,64,banana
Bomet,60394,229500,3.800046362,rice
Kirinyaga,60394,292500,4.843196344,rice
Kwale,60394,292500,4.843196344,rice
Baringo,60394,225000,3.725535649,rice
Kiambu,60394,270000,4.470642779,rice
kisii,60394,299250,4.954962413,rice
bungoma,60394,2160000,35.76514223,rice
busia ,60394,105000,1.738583303,rice
elgeyo marakwet ,60394,400000,6.623174488,rice
embu ,60394,336000,5.56346657,rice
homabay,60394,150000,2.483690433,rice
isiolo,60394,60000,0.993476173,rice
kajiado,60394,840000,13.90866642,rice
kericho,60394,900000,14.9021426,rice
kilifi,60394,11500,0.190416267,rice
kisumu,60394,735000,12.17008312,rice
kitui,60394,660000,10.9282379,rice
Kakamega,60394,270000,4.470642779,rice
Bomet,170000,202500,1.191176471,grapes
Kirinyaga,170000,30000,0.176470588,grapes
Kwale,170000,50000,0.294117647,grapes
Baringo,170000,40000,0.235294118,grapes
Kiambu,170000,350000,2.058823529,grapes
kisii,170000,3000,0.017647059,grapes
bungoma,170000,15000,0.088235294,grapes
busia ,170000,15000,0.088235294,grapes
elgeyo marakwet ,170000,202500,1.191176471,grapes
embu ,170000,140000,0.823529412,grapes
homabay,170000,60000,0.352941176,grapes
isiolo,170000,30000,0.176470588,grapes
kajiado,170000,36000,0.211764706,grapes
kericho,170000,3000,0.017647059,grapes
kilifi,170000,50000,0.294117647,grapes
kisumu,170000,60000,0.352941176,grapes
kitui,170000,13200,0.077647059,grapes
Kakamega,170000,15000,0.088235294,grapes
Bomet,125000,10000,0.08,papaya
Kirinyaga,125000,350000,2.8,papaya
Kwale,125000,36000,0.288,papaya
Baringo,125000,12000,0.096,papaya
Kiambu,125000,35000,0.28,papaya
kisii,125000,24000,0.192,papaya
bungoma,125000,600000,4.8,papaya
busia ,125000,7500,0.06,papaya
elgeyo marakwet ,125000,4320,0.03456,papaya
embu ,125000,70000,0.56,papaya
homabay,125000,13500,0.108,papaya
isiolo,125000,500000,4,papaya
kajiado,125000,100000,0.8,papaya
kericho,125000,20000,0.16,papaya
kilifi,125000,25000,0.2,papaya
kisumu,125000,40000,0.32,papaya
kitui,125000,5000,0.04,papaya
Kakamega,125000,60000,0.48,papaya
Bomet,45000,114000,2.533333333,greengrams
Kirinyaga,45000,476000,10.57777778,greengrams
Kwale,45000,300000,6.666666667,greengrams
Baringo,45000,650000,14.44444444,greengrams
Kiambu,45000,108500,2.411111111,greengrams
kisii,45000,262500,5.833333333,greengrams
bungoma,45000,793000,17.62222222,greengrams
busia ,45000,72000,1.6,greengrams
elgeyo marakwet ,45000,34720,0.771555556,greengrams
embu ,45000,290000,6.444444444,greengrams
homabay,45000,400000,8.888888889,greengrams
isiolo,45000,1230000,27.33333333,greengrams
kajiado,45000,200000,4.444444444,greengrams
kericho,45000,600000,13.33333333,greengrams
kilifi,45000,13950,0.31,greengrams
kisumu,45000,525000,11.66666667,greengrams
kitui,45000,2550000,56.66666667,greengrams
Kakamega,45000,260700,5.793333333,greengrams
